Timestamp;Station;Linie;Einsteiger;Aussteiger;Avg
2017-02-01;RP;S1;481710;470221;475966
2017-02-01;RP;S11;39025;39497;39261
2017-02-01;SDF;S1;216033;225776;220905
2017-02-01;SHS;S1;436771;476703;456737
2017-02-01;SHS;S2;16146;16030;16088
2017-02-01;SHS;S3;202181;212594;207388
2017-02-01;SST;S11;39503;44797;42150
2017-02-01;SST;S21;167157;188685;177921
2017-02-01;SST;S31;411412;406878;409145
2017-02-01;ST;S3;29189;29430;29310
2017-02-01;STS;S21;149480;125721;137601
2017-02-01;STS;S3;164010;193143;178577
2017-02-01;THS;S3;105747;119404;112576
2017-02-01;TK;S2;17322;14613;15968
2017-02-01;TK;S21;129064;143459;136262
2017-02-01;VLS;S3;226683;226734;226709
2017-02-01;VLS;S31;344017;366180;355099
2017-02-01;WBS;S1;217947;224255;221101
2017-02-01;WBS;S11;20120;19485;19803
2017-02-01;WCH;S1;491323;501268;496296
2017-02-01;WCH;S11;34555;42538;38547
2017-02-01;WFS;S3;222714;229866;226290
2017-02-01;WFS;S31;353448;355973;354711
2017-02-01;WL;S1;191046;188021;189534
2017-02-01;WLF;S21;59943;47489;53716
2017-03-01;ABG;S3;13728;14313;14021
2017-03-01;AH;S21;49100;54508;51804
2017-03-01;AI;S1;71976;72666;72321
2017-03-01;ALH;S2;15549;14843;15196
2017-03-01;ALH;S21;179789;205586;192688
2017-03-01;AS;S1;433264;433825;433545
2017-03-01;AS;S11;39361;44534;41948
2017-03-01;AS;S2;7842;12450;10146
2017-03-01;AS;S3;159188;189165;174177
2017-03-01;AS;S31;236366;220409;228388
2017-03-01;AW;S1;260250;272483;266367
2017-03-01;AW;S11;29278;26941;28110
2017-03-01;B;S1;282052;301736;291894
2017-03-01;B;S11;18486;16508;17497
2017-03-01;BAF;S1;326966;321895;324431
2017-03-01;BAF;S11;32510;32882;32696
2017-03-01;BAP;S1;332881;354754;343818
2017-03-01;BAP;S11;35226;41159;38193
2017-03-01;BGS;S2;12081;8928;10505
2017-03-01;BGS;S21;187788;201225;194507
2017-03-01;BTSL;S1;323247;331509;327378
2017-03-01;BTSL;S11;38633;41624;40129
2017-03-01;BTSL;S2;15659;18044;16852
2017-03-01;BTSL;S21;218643;219334;218989
2017-03-01;BTSL;S31;65258;82159;73709
2017-03-01;BWM;S2;12216;11977;12097
2017-03-01;BWM;S21;147697;160995;154346
2017-03-01;BX;S3;61325;61548;61437
2017-03-01;DR;S3;18139;13720;15930
2017-03-01;DST;S11;37198;40180;38689
2017-03-01;DST;S21;199038;214334;206686
2017-03-01;DST;S31;347752;342231;344992
2017-03-01;DT;S21;171788;162186;166987
2017-03-01;DT;S3;100829;122085;111457
2017-03-01;EGS;S21;113892;124312;119102
2017-03-01;EGS;S3;111420;116840;114130
2017-03-01;EST;S21;170918;147181;159050
2017-03-01;EST;S3;99233;114326;106780
2017-03-01;FB;S1;288633;289151;288892
2017-03-01;FB;S11;23473;26020;24747
2017-03-01;FBG;S1;307521;304006;305764
2017-03-01;FBG;S11;35869;35987;35928
2017-03-01;FIB;S3;41185;35675;38430
2017-03-01;HAB;S3;148796;143868;146332
2017-03-01;HAB;S31;222297;222667;222482
2017-03-01;HCH;S1;100921;114622;107772
2017-03-01;HCH;S11;8199;11248;9724
2017-03-01;HFS;S3;140886;146329;143608
2017-03-01;HFS;S31;77568;79062;78315
2017-03-01;HKS;S3;80817;79726;80272
2017-03-01;HOG;S3;31403;31964;31684
2017-03-01;HPS;S1;188924;188414;188669
2017-03-01;HPS;S11;19907;16161;18034
2017-03-01;HRF;S3;170528;171199;170864
2017-03-01;HRF;S31;170147;204298;187223
2017-03-01;HRS;S3;166638;161966;164302
2017-03-01;HRS;S31;245892;231411;238652
2017-03-01;HS;S1;437903;453023;445463
2017-03-01;HS;S11;48463;53559;51011
2017-03-01;HS;S2;20723;22143;21433
2017-03-01;HS;S21;258107;307062;282585
2017-03-01;HS;S3;149601;157546;153574
2017-03-01;HS;S31;391630;432122;411876
2017-03-01;HSB;S1;316560;312095;314328
2017-03-01;HSB;S11;38120;37006;37563
2017-03-01;HST;S11;43037;36287;39662
